"SB21A","C00485110","SB21A.5045","","","ORG","Campaign Solutions//The Donatelli Group","","","","","","117 N Saint Asaph Street","","Alexandria","VA","22314","","","20120302","45125.00","","Website","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5046","","","ORG","Campaign Solutions//The Donatelli Group","","","","","","117 N Saint Asaph Street","","Alexandria","VA","22314","","","20120312","20134.26","","Website","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5287","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120113","2828.02","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5288","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120131","2828.03","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5289","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120215","2828.02","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5290","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120229","2828.03","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5291","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120305","39.84","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5292","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","2828.02","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5293","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120328","238.95","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5294","","","IND","","Carson","Erica","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","2632.55","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5166","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","1023.43","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5167","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","1023.44","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5168","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","54.43","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5169","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","1023.43","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5170","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","1023.44","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5171","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120312","24.76","","Reimbursement-Office Supplies","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5172","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","1023.43","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5173","","","IND","","Casey","Virginia","C.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1023.44","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5222","","","ORG","CEASG, LLC","","","","","","425 Massachusetts Avenue, NW","PH 224","Washington","DC","20001","","","20120113","6000.00","","IT Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5223","","","ORG","CEASG, LLC","","","","","","425 Massachusetts Avenue, NW","PH 224","Washington","DC","20001","","","20120215","6000.00","","IT Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5225","","","ORG","CEASG, LLC","","","","","","425 Massachusetts Avenue, NW","PH 224","Washington","DC","20001","","","20120315","6000.00","","IT Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5024","","","ORG","Central Parking System of FL, Inc.","","","","","","101 E. Kennedy Blvd Ste 800","","Tampa","FL","33602","","","20120315","530.00","","Parking","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5026","","","ORG","Central Parking System of FL, Inc.","","","","","","101 E. Kennedy Blvd Ste 800","","Tampa","FL","33602","","","20120315","340.00","","Parking","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5162","","","ORG","David J. Nash Associates","","","","","","27444 Trailridge Road","","Canyon Country","CA","91387","","","20120215","25000.00","","Production Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5353","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120113","4001.46","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5355","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120131","4001.46","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5356","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120201","64.16","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5357","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120215","4001.46","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5358","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120229","4001.46","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5359","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120305","278.55","","Reimbursement-Travel Expenses, Meeting Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5360","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","4001.46","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5361","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","4001.46","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5075","","","IND","","Dean","Jessica","Kali","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1803.58","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5351","","","ORG","Embassy Limousine & Sedan Service Inc.","","","","","","9525 66th St","","Pinellas Park","FL","33782","","","20120302","594.00","","Transportation Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5423","","","IND","","Evans","Rob","","","","PO Box 1809","","Tampa","FL","33601","","","20120113","1070.93","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5424","","","IND","","Evans","Rob","","","","PO Box 1809","","Tampa","FL","33601","","","20120131","1070.94","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5425","","","IND","","Evans","Rob","","","","PO Box 1809","","Tampa","FL","33601","","","20120215","1070.93","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5426","","","IND","","Evans","Rob","","","","PO Box 1809","","Tampa","FL","33601","","","20120215","128.25","","Reimbursement-Meeting Expenses, Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5427","","","IND","","Evans","Rob","","","","PO Box 1809","","Tampa","FL","33601","","","20120229","1070.94","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5428","","","IND","","Evans","Rob","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","1070.93","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5429","","","IND","","Evans","Rob","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1070.94","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5221","","","IND","","Everett","Max","","","","PO Box 1809","","Tampa","FL","33601","","","20120212","53.00","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5059","","","ORG","Fit Life Foods","","","","","","1902 B.S. Dale Mabry Hwy","","Tampa","FL","33629","","","20120320","293.75","","Meeting Expense","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5255","","","ORG","foamcube, llc","","","","","","5808 Malvern Hill Ct.","","Haymarket","VA","20169","","","20120111","1400.00","","Website Maintenance","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5256","","","ORG","foamcube, llc","","","","","","5808 Malvern Hill Ct.","","Haymarket","VA","20169","","","20120206","1400.00","","Website Maintenance","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5217","","","IND","","Fuqua","Charles","S.","","","4128 Fort Worth Place","","Alexandria","VA","22304","","","20120201","3500.00","","Media Operations Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5218","","","IND","","Fuqua","Charles","S.","","","4128 Fort Worth Place","","Alexandria","VA","22304","","","20120212","3500.00","","Media Operations Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5219","","","IND","","Fuqua","Charles","S.","","","4128 Fort Worth Place","","Alexandria","VA","22304","","","20120305","3500.00","","Media Operations Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5344","","","IND","","Gonzmart","Caroline","E.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","1094.68","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5345","","","IND","","Gonzmart","Caroline","E.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","1094.69","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5347","","","IND","","Gonzmart","Caroline","E.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","1094.68","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5348","","","IND","","Gonzmart","Caroline","E.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","1023.44","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5349","","","IND","","Gonzmart","Caroline","E.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","1023.43","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5350","","","IND","","Gonzmart","Caroline","E.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1023.44","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5273","","","IND","","Goodridge","Loretta","","","","75 Spa Rd","","Annapolis","MD","21401","","","20120320","8000.00","","Social Media Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5116","","","ORG","Greener and Hook","","","","","","2101 Wilson Blvd., Ste. 402","","Arlington","VA","22201","","","20120206","486.20","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5118","","","ORG","Greener and Hook","","","","","","2101 Wilson Blvd., Ste. 402","","Arlington","VA","22201","","","20120312","15000.00","","Communications Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5164","","","IND","","Hagen","Lauren","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","957.04","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5080","","","IND","","Hardin","Anastasia","","","","PO Box 1809","","Tampa","FL","33601","","","20120131","633.92","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5082","","","IND","","Hardin","Anastasia","","","","PO Box 1809","","Tampa","FL","33601","","","20120215","1047.18","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5083","","","IND","","Hardin","Anastasia","","","","PO Box 1809","","Tampa","FL","33601","","","20120229","1047.19","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5084","","","IND","","Hardin","Anastasia","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","1047.18","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5085","","","IND","","Hardin","Anastasia","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1047.19","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5055","","","IND","","Harlow","Bryce","L.","","","PO Box 1809","","Tampa","FL","33601","","","20120206","618.51","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5098","","","IND","","Harlow","Bryce","L.","","","PO Box 1809","","Tampa","FL","33601","","","20120217","353.57","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5057","","","IND","","Harlow","Bryce","L.","","","PO Box 1809","","Tampa","FL","33601","","","20120313","595.94","","Reimbursement-Meeting Expenses, Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5058","","","IND","","Harlow","Bryce","L.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","70.03","","Reimbursement-Meeting Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5054","","","ORG","Harlow Government Relations, LLC","","","","","","1812 Solitaire Lane","","McLean","VA","22101","","","20120106","10000.00","","Official Proceedings Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5097","","","ORG","Harlow Government Relations, LLC","","","","","","1812 Solitaire Lane","","McLean","VA","22101","","","20120212","10000.00","","Official Proceedings Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5056","","","ORG","Harlow Government Relations, LLC","","","","","","1812 Solitaire Lane","","McLean","VA","22101","","","20120305","10000.00","","Official Proceedings Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5193","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","5575.63","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5194","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","5575.63","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5195","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","189.00","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5196","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","5575.63","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5197","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","5575.63","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5198","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120302","530.50","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5199","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120308","189.00","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5201","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","5575.63","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5202","","","IND","","Harris","William","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","5575.63","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5246","","","IND","","Heil","Elizabeth","A","","","PO Box 1809","","Tampa","FL","33601","","","20120215","1837.54","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5248","","","IND","","Heil","Elizabeth","A","","","PO Box 1809","","Tampa","FL","33601","","","20120229","1837.54","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5249","","","IND","","Heil","Elizabeth","A","","","PO Box 1809","","Tampa","FL","33601","","","20120305","30.00","","Reimbursement-Travel Expense","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5250","","","IND","","Heil","Elizabeth","A","","","PO Box 1809","","Tampa","FL","33601","","","20120315","1837.54","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5251","","","IND","","Heil","Elizabeth","A","","","PO Box 1809","","Tampa","FL","33601","","","20120327","445.71","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5252","","","IND","","Heil","Elizabeth","A","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1837.54","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5028","","","ORG","Hughes Corporate Printing, LLC","","","","","","101 Orange Co. Circle NE","","Winter Haven","FL","33881","","","20120212","58.85","","Printing Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5030","","","ORG","Hughes Corporate Printing, LLC","","","","","","101 Orange Co. Circle NE","","Winter Haven","FL","33881","","","20120305","276.06","","Printing Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5031","","","ORG","Hughes Corporate Printing, LLC","","","","","","101 Orange Co. Circle NE","","Winter Haven","FL","33881","","","20120314","37.45","","Printing Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5032","","","ORG","Hughes Corporate Printing, LLC","","","","","","101 Orange Co. Circle NE","","Winter Haven","FL","33881","","","20120328","160.50","","Printing Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5394","","","ORG","Kerzcasa, LLC","","","","","","6535 Steeplechase Dr","","Tampa","FL","33625","","","20120322","4000.00","","Communications Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5150","","","ORG","Levy Awards","","","","","","2614 W Kennedy Blvd.","","Tampa","FL","33609","","","20120221","3443.50","","Office Supplies","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5257","","","IND","","Lyons","Kathryn","H.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","1047.19","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5258","","","IND","","Lyons","Kathryn","H.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","1047.19","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5259","","","IND","","Lyons","Kathryn","H.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","1047.18","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5260","","","IND","","Lyons","Kathryn","H.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","1047.19","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5261","","","IND","","Lyons","Kathryn","H.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","1047.18","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5262","","","IND","","Lyons","Kathryn","H.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1047.19","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5158","","","ORG","M/Brown Creative","","","","","","2707 Bryan Place","","Alexandria","VA","22302","","","20120227","2000.00","","Operations Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5160","","","ORG","M/Brown Creative","","","","","","2707 Bryan Place","","Alexandria","VA","22302","","","20120314","233.71","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5161","","","ORG","M/Brown Creative","","","","","","2707 Bryan Place","","Alexandria","VA","22302","","","20120320","2000.00","","Operations Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5305","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120113","1711.77","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5402","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120131","1711.77","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5403","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120215","2145.21","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5404","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120217","31.07","","Reimbursement-Office Supplies","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5405","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120229","2145.21","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5408","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","354.16","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5409","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","2145.21","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5410","","","IND","","Mandelson","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","2145.21","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5104","","","IND","","Mannion","John","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","2072.97","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5108","","","IND","","Mannion","John","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","2072.98","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5062","","","IND","","Mason","Erik","","","","PO Box 1809","","Tampa","FL","33601","","","20120103","2472.50","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5061","","","IND","","Mason","Erik","","","","PO Box 1809","","Tampa","FL","33601","","","20120113","2472.50","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5063","","","IND","","Mason","Erik","","","","PO Box 1809","","Tampa","FL","33601","","","20120215","2472.49","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5064","","","IND","","Mason","Erik","","","","PO Box 1809","","Tampa","FL","33601","","","20120229","2409.63","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5065","","","IND","","Mason","Erik","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","2456.79","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5066","","","IND","","Mason","Erik","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","2456.78","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5226","","","ORG","MAXimum Compliance, LLC","","","","","","4703 Woodway Lane, NW","","Washington","DC","20016","","","20120106","1411.60","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5227","","","ORG","MAXimum Compliance, LLC","","","","","","4703 Woodway Lane, NW","","Washington","DC","20016","","","20120113","11500.00","","Bookkeeping & Compliance","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5228","","","ORG","MAXimum Compliance, LLC","","","","","","4703 Woodway Lane, NW","","Washington","DC","20016","","","20120206","1345.20","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5231","","","ORG","MAXimum Compliance, LLC","","","","","","4703 Woodway Lane, NW","","Washington","DC","20016","","","20120215","11500.00","","Bookkeeping & Compliance","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5232","","","ORG","MAXimum Compliance, LLC","","","","","","4703 Woodway Lane, NW","","Washington","DC","20016","","","20120315","11500.00","","Bookkeeping & Compliance","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5105","","","IND","","McNeill","Daniel","","","","PO Box 1809","","Tampa","FL","33601","","","20120315","2158.33","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5106","","","IND","","McNeill","Daniel","","","","PO Box 1809","","Tampa","FL","33601","","","20120328","60.28","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5107","","","IND","","McNeill","Daniel","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","2578.65","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5205","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","200.73","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5206","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","4749.58","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5207","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120124","1342.26","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5208","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","4749.59","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5209","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","4749.59","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5210","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","4749.58","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5211","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120302","483.85","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5212","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","4749.58","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5213","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120319","124.72","","Reimbursement-Office Supplies","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5214","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120327","169.52","","Reimbursement-Travel Expenses,Office Supplies","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5216","","","IND","","Miller","Michael","V.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","4749.59","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5275","","","IND","","Morrell","Paul","","","","PO Box 1809","","Tampa","FL","33601","","","20120113","2476.35","","Payroll","","","","","","","","","","","","","","","","","","","","",""
